Year,Month_Num,Month_Name,Quarter,Dept_Name,Monthly_Revenue,Monthly_Cost,Monthly_Gross_Profit,YTD_Revenue,Prev_Month_Revenue,MoM_Growth_Pct,Three_Month_Avg_Revenue
2023,7,July,Q3,Sales,5300000,3320000,1980000,34800000,5500000,-3.64,5350000
2023,8,August,Q3,Sales,5450000,3360000,2090000,40250000,5300000,2.83,5416667
2023,9,September,Q3,Sales,5200000,3280000,1920000,45450000,5450000,-4.59,5316667
2023,10,October,Q4,Sales,5700000,3450000,2250000,51150000,5200000,9.62,5450000
2023,11,November,Q4,Sales,5900000,3520000,2380000,57050000,5700000,3.51,5600000
2023,12,December,Q4,Sales,6400000,3800000,2600000,63450000,5900000,8.47,6000000
2024,1,January,Q1,Sales,4600000,3100000,1500000,4600000,6400000,-28.13,5633333
2024,2,February,Q1,Sales,4750000,3150000,1600000,9350000,4600000,3.26,5250000
2024,3,March,Q1,Sales,5000000,3250000,1750000,14350000,4750000,5.26,4783333
2024,4,April,Q2,Sales,5200000,3300000,1900000,19550000,5000000,4.00,4983333
2024,5,May,Q2,Sales,5420000,3380000,2040000,24970000,5200000,4.23,5206667
2024,6,June,Q2,Sales,5600000,3460000,2140000,30570000,5420000,3.32,5406667
2024,7,July,Q3,Sales,5500000,3420000,2080000,36070000,5600000,-1.79,5506667
2024,8,August,Q3,Sales,5650000,3470000,2180000,41720000,5500000,2.73,5583333
2024,9,September,Q3,Sales,5400000,3380000,2020000,47120000,5650000,-4.42,5516667
2024,10,October,Q4,Sales,5800000,3520000,2280000,52920000,5400000,7.41,5616667
2024,11,November,Q4,Sales,6000000,3650000,2350000,58920000,5800000,3.45,5733333
2024,12,December,Q4,Sales,6500000,3900000,2600000,65420000,6000000,8.33,6100000
